AV,10kW,100kW,250kW,750kW,1500kW
1,0.277,0,0,0,0
2,1.026,0,0,0,0
3,2.217,0.5,0,10,0
4,3.584,4.1,4,20,0
5,5.51,10.5,14,60,64.989
6,7.774,19,29,100,200.415
7,10.008,29.4,55,160,365.684
8,11.478,41,86,240,581.908
9,11.962,54.3,118,355,810.417
10,11.991,66.8,156,475,1102.17
11,11.99,77.7,189,605,1386.898
12,11.99,86.4,218,720,1488.934
13,12.004,92.8,240,750,1497.898
14,0,97.8,255,750,1500
15,0,100,265,750,1500
16,0,99.9,270,750,1500
17,0,99.2,268,750,1500
18,0,98.4,266,750,1500
19,0,97.5,262,750,1500
20,0,96.8,255,750,1500
21,0,96.4,245,750,1500
22,0,96.3,240,750,1500
23,0,96.8,240,750,1500
24,0,98,240,750,1500
25,0,0,240,0,0
